anime_name;anime_path;anime_id
.hack g.u;/dirlist.php?dir=subtitles%2Fjapanese%2F.hack+G.U%2F;0
3-gatsu no lion;/dirlist.php?dir=subtitles%2Fjapanese%2F3-gatsu+no+Lion%2F;1
5-tou ni naritai;/dirlist.php?dir=subtitles%2Fjapanese%2F5-tou+ni+Naritai%2F;2
07-ghost;/dirlist.php?dir=subtitles%2Fjapanese%2F07-Ghost%2F;3
7seeds;/dirlist.php?dir=subtitles%2Fjapanese%2F7SEEDS%2F;4
11eyes;/dirlist.php?dir=subtitles%2Fjapanese%2F11eyes%2F;5
86 - eighty six;/dirlist.php?dir=subtitles%2Fjapanese%2F86+-+Eighty+Six%2F;6
91 days;/dirlist.php?dir=subtitles%2Fjapanese%2F91+Days%2F;7
100-man no inochi no ue ni ore wa tatteiru;/dirlist.php?dir=subtitles%2Fjapanese%2F100-man+no+Inochi+no+Ue+ni+Ore+wa+Tatteiru%2F;8
180 byou de kimi no mimi o shiawase ni dekiru ka?;/dirlist.php?dir=subtitles%2Fjapanese%2F180+Byou+de+Kimi+no+Mimi+o+Shiawase+ni+Dekiru+ka%3F%2F;9
a.i.c.o. incarnation;/dirlist.php?dir=subtitles%2Fjapanese%2FA.I.C.O.+Incarnation%2F;10
aa! megami-sama!;/dirlist.php?dir=subtitles%2Fjapanese%2FAa%21+Megami-sama%21%2F;11
absolute duo;/dirlist.php?dir=subtitles%2Fjapanese%2FAbsolute+Duo%2F;12
acca;/dirlist.php?dir=subtitles%2Fjapanese%2FACCA%2F;13
accel world;/dirlist.php?dir=subtitles%2Fjapanese%2FAccel+World%2F;14
acchi kocchi;/dirlist.php?dir=subtitles%2Fjapanese%2FAcchi_Kocchi%2F;15
ace of diamond act ii;/dirlist.php?dir=subtitles%2Fjapanese%2FAce+of+Diamond+Act+II%2F;16
ace of diamond;/dirlist.php?dir=subtitles%2Fjapanese%2FAce_Of_Diamond%2F;17
a channel;/dirlist.php?dir=subtitles%2Fjapanese%2FA+Channel%2F;18
