anime_name;filename;start_time;end_time;content
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:13.493000;0 days 00:01:15.493000;（かをり）ん？　うん？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:17.497000;0 days 00:01:19.166000;（鳴き声）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:19.166000;0 days 00:01:21.401000;あっ…　ウフフフ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:21.401000;0 days 00:01:24.404000;フフフフ…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:24.404000;0 days 00:01:26.406000;おっ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:26.406000;0 days 00:01:29.406000;うん？　う～ん。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:31.411000;0 days 00:01:33.411000;あっ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:43.423000;0 days 00:01:45.425000;（かをり）ニャア！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:01:45.425000;0 days 00:01:55.425000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:04:52.479000;0 days 00:04:57.484000;"♪♪『ピアノ・ソナタ　第１４番（月光）
第３楽章』"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:04:57.484000;0 days 00:05:17.504000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:05:17.504000;0 days 00:05:26.513000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:05:26.513000;0 days 00:05:38.525000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:05:38.525000;0 days 00:05:43.530000;[TEL]（♪♪『光るなら』）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:05:43.530000;0 days 00:05:54.530000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:04.484000;0 days 00:06:06.486000;（椿）いったー！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:06.486000;0 days 00:06:09.486000;"芯　食った～！
（部員）すごい　飛球！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:12.492000;0 days 00:06:14.494000;ヤバ…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:14.494000;0 days 00:06:16.496000;（部員）バカみたいに飛ばすなよ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:16.496000;0 days 00:06:18.498000;（部員）ボール　取ってこいよ　椿！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:18.498000;0 days 00:06:20.500000;（椿）わーっ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:20.500000;0 days 00:06:22.800000;（渡）ま～た　やったのか　あいつ。
